"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","100","75.7154006958008","124","-37.427","-44.998","0.061798104","2.91886170529634","0.662592477923797","0",
"1/2/1979","100","75.7154006958008","124","-35.14","-41.535","0.15449526","4.50280125338407","0.668656100496221","0",
"1/3/1979","100","75.7154006958008","124","-35.149","-42.95","0.31242366","6.45817870704457","0.653551105486429","0",
"1/4/1979","100","75.7154006958008","124","-42.638","-45.733","0","4.83886754259527","0.600731990282492","0",
"1/5/1979","100","75.7154006958008","124","-45.518","-52.489","0","2.99477775108794","0.602466664886683","0",
"1/6/1979","100","75.7154006958008","124","-31.805","-53.157","0.528716844","4.00872764732858","0.654229893524811","0",
"1/7/1979","100","75.7154006958008","124","-25.394","-34.465","1.9466397","4.80709899261298","0.719626238591869","0",
"1/8/1979","100","75.7154006958008","124","-24.682","-33.654","1.840210128","3.76441002524689","0.745106110356954","0",
"1/9/1979","100","75.7154006958008","124","-34.415","-48.799","0.065231316","3.30488077655955","0.628103728008967","0",
"1/10/1979","100","75.7154006958008","124","-38.715","-44.405","0.0617980896","5.4456413583355","0.639855271296334","0",
"1/11/1979","100","75.7154006958008","124","-38.471","-40.903","0.0617980752","4.11027110486434","0.654039876351361","0",
"1/12/1979","100","75.7154006958008","124","-33.764","-40.35","0.0240325848","2.96894979698632","0.674913311118745","0",
"1/13/1979","100","75.7154006958008","124","-27.804","-33.766","0.1785278304","3.19666059072281","0.715026201015965","0",
"1/14/1979","100","75.7154006958008","124","-34.055","-36.911","0.1167296904","2.34213314626349","0.695159529168871","0",
"1/15/1979","100","75.7154006958008","124","-25.93","-34.692","0.7038117072","6.12026947334242","0.712051664573662","0",
"1/16/1979","100","75.7154006958008","124","-22.413","-29.771","1.0368345744","5.76907575356532","0.745792738829755","0",
"1/17/1979","100","75.7154006958008","124","-20.275","-27.661","1.563835104","5.7420653636919","0.756446254106628","0",
"1/18/1979","100","75.7154006958008","124","-28.043","-42.154","0.0514984104","3.69683425609133","0.709501451544771","0",
"1/19/1979","100","75.7154006958008","124","-31.659","-38.4","0.0205993584","4.0550636121732","0.681284553581547","0",
"1/20/1979","100","75.7154006958008","124","-31.984","-37.805","0.0068664528","4.8822025640996","0.680924667910738","0",
"1/21/1979","100","75.7154006958008","124","-27.463","-35.178","0.1004219136","4.44952721772378","0.708484789982534","0",
"1/22/1979","100","75.7154006958008","124","-26.763","-34.554","0.1699447392","3.44985643181238","0.726391263486509","0",
"1/23/1979","100","75.7154006958008","124","-31.78","-37.462","0.0068664528","3.89814467789981","0.695437881391085","0",
"1/24/1979","100","75.7154006958008","124","-27.685","-41.128","0.3192902424","3.59100165693703","0.705823243557054","0",
"1/25/1979","100","75.7154006958008","124","-26.438","-42.152","0.5278586256","2.86534675281876","0.714018898207532","0",
"1/26/1979","100","75.7154006958008","124","-27.47","-39.484","0.2883909528","1.61346051526814","0.710119511380558","0",
"1/27/1979","100","75.7154006958008","124","-32.39","-38.661","0.2617834392","1.42317829047389","0.710443127799587","0",
"1/28/1979","100","75.7154006958008","124","-32.531","-41.7","0.1373290704","1.99554719916591","0.70871298869298","0",
"1/29/1979","100","75.7154006958008","124","-35.852","-43.794","0","2.7618101866093","0.655400824657008","0",
"1/30/1979","100","75.7154006958008","124","-34.124","-41.03","0","2.80634392258104","0.684479984376876","0",
"1/31/1979","100","75.7154006958008","124","-34.568","-37.949","0","3.52649869011515","0.679356700057406","0",
"2/1/1979","100","75.7154006958008","124","-33.66","-40.257","0.0549316512","3.50735372370517","0.676748764750989","0",
"2/2/1979","100","75.7154006958008","124","-33.806","-36.959","0.3570556608","4.94345084520158","0.681119688814748","0",
"2/3/1979","100","75.7154006958008","124","-37.113","-46.472","0.3021240312","3.57326033245798","0.660642758589813","0",
"2/4/1979","100","75.7154006958008","124","-37.251","-49.912","0.2025604224","1.43208550956754","0.65653347461799","0",
"2/5/1979","100","75.7154006958008","124","-37.364","-45.016","0.1072883448","3.67575245209229","0.645388804201615","0",
"2/6/1979","100","75.7154006958008","124","-44.481","-52.482","0.0480651696","2.04849783105051","0.627378757577426","0",
"2/7/1979","100","75.7154006958008","124","-40.406","-53.528","0","2.28351434761289","0.622504605225835","0",
"2/8/1979","100","75.7154006958008","124","-39.152","-48.514","0","3.31323783104144","0.636049786786292","0",
"2/9/1979","100","75.7154006958008","124","-47.992","-52.644","0.0240325848","1.26649087447366","0.66220221223052","0",
"2/10/1979","100","75.7154006958008","124","-37.38","-49.925","0.051498396","1.33488138482775","0.656321625705876","0",
"2/11/1979","100","75.7154006958008","124","-37.212","-42.891","0.0034332264","2.52289064728528","0.67426417888168","0.00016875",
"2/12/1979","100","75.7154006958008","124","-34.922","-43.566","0.0411987384","2.30268464848843","0.682016987517612","0.009225",
"2/13/1979","100","75.7154006958008","124","-32.829","-44.309","0.058364856","2.17338362316048","0.677167880154133","0.027899982",
"2/14/1979","100","75.7154006958008","124","-30.598","-39.586","0.8814814128","5.12267168467655","0.697597313404047","0.04831875",
"2/15/1979","100","75.7154006958008","124","-31.955","-44.189","1.5913013616","2.02205663674626","0.693913565491823","0.084262464",
"2/16/1979","100","75.7154006958008","124","-42.895","-49.799","0.0823974336","1.50563014380462","0.655836243916621","0.12858732",
"2/17/1979","100","75.7154006958008","124","-37.8","-50.101","0.0377654832","2.27234577414259","0.642197981140348","0.18928134",
"2/18/1979","100","75.7154006958008","124","-37.622","-47.274","0.1167297552","2.26933542242666","0.665437451378132","0.223312572",
"2/19/1979","100","75.7154006958008","124","-27.029","-37.302","1.3080603744","4.26105619914673","0.709205118718092","0.246937428",
"2/20/1979","100","75.7154006958008","124","-30.414","-44.5","0.736427412","3.03468221114743","0.701927594849648","0.323099784",
"2/21/1979","100","75.7154006958008","124","-39.73","-50.735","0.025749216","2.30200226870349","0.653364356946939","0.46861884",
"2/22/1979","100","75.7154006958008","124","-42.416","-51.164","0","2.36877406685505","0.62312439744843","0.573130872",
"2/23/1979","100","75.7154006958008","124","-35.039","-50.381","0.2712250512","2.86461177382304","0.651527662852891","0.59731866",
"2/24/1979","100","75.7154006958008","124","-33.816","-38.195","0.576782172","2.98243280454614","0.700488353748371","0.630450252",
"2/25/1979","100","75.7154006958008","124","-34.86","-40.405","0.156211848","4.95501719418224","0.665023801710891","0.85994964",
"2/26/1979","100","75.7154006958008","124","-35.235","-39.217","0.2986908264","6.88262642005538","0.653893091353902","0.812699928",
"2/27/1979","100","75.7154006958008","124","-33.151","-36.66","0.1167297768","6.14481705283233","0.671054144471856","1.0798875",
"2/28/1979","100","75.7154006958008","124","-32.194","-36.351","0.0446319504","4.64367086057969","0.68593534506106","1.211625",
"3/1/1979","100","75.7154006958008","124","-30.304","-38.354","0.1416207024","2.84342712247355","0.701096285091064","1.45608732",
"3/2/1979","100","75.7154006958008","124","-28.265","-39.534","0.1750946688","1.69840603479108","0.711115890578416","1.40501232",
"3/3/1979","100","75.7154006958008","124","-27.914","-37.644","0.175094568","2.06571931765015","0.714735885148252","1.56999348",
"3/4/1979","100","75.7154006958008","124","-35.825","-40.283","0.1304627112","1.06948030522436","0.695163080670544","1.67996286",
"3/5/1979","100","75.7154006958008","124","-34.368","-42.508","0.0686646","1.33258812485321","0.689469489592481","1.9729143",
"3/6/1979","100","75.7154006958008","124","-30.268","-41.166","0.027465804","1.74322442919293","0.697853824231576","2.1368259",
"3/7/1979","100","75.7154006958008","124","-24.612","-35.584","0.645446952","2.76331858693082","0.743350910154508","1.8527625",
"3/8/1979","100","75.7154006958008","124","-25.465","-37.747","0.4549026168","2.48156917219626","0.730704879831607","2.036925",
"3/9/1979","100","75.7154006958008","124","-28.937","-38.379","0.0823974336","2.46827627488356","0.719172163590765","2.75203314",
"3/10/1979","100","75.7154006958008","124","-26.814","-37.322","0","2.69586227838055","0.718544046817866","3.0537018",
"3/11/1979","100","75.7154006958008","124","-26.169","-34.676","0.2918244024","3.06863499125699","0.727685317982964","2.719521288",
"3/12/1979","100","75.7154006958008","124","-24.032","-30.649","0.1304626536","5.57835487328348","0.731793141488353","3.268350072",
"3/13/1979","100","75.7154006958008","124","-23.963","-31.432","0.2265931008","5.03858970769133","0.732048829828814","3.37567248",
"3/14/1979","100","75.7154006958008","124","-28.127","-33.704","0.1407623184","3.26374070137985","0.709383873559181","3.7634562",
"3/15/1979","100","75.7154006958008","124","-28.234","-31.009","0.0858306816","3.54532063352066","0.719233084605634","4.1596902",
